Kod oblasti;Nazev oblasti;Registrovany volici;Obalky;PlatnÈ hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Unie H.A.V.E.L.;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
539198;Dob¯ichovice;2†738;2†059;2†049;413;2;3;81;0;142;47;60;4;32;4;2;336;0;0;371;336;2;1;89;2;11;1;3;106;1
539210;DolnÌ B¯eûany;2†635;1†981;1†963;370;0;0;49;0;417;75;28;6;29;2;3;258;0;1;208;355;0;0;43;1;14;1;1;99;3
531146;DrahelËice;653;451;449;53;0;1;20;1;45;25;12;0;8;0;1;63;0;0;48;128;1;1;13;0;1;1;0;27;0
539228;Holubice;1†237;852;850;134;0;3;51;0;48;43;13;8;21;2;3;118;0;2;89;203;0;0;10;0;18;1;0;82;1
539236;HoromÏ¯ice;2†610;1†837;1†826;317;1;1;96;0;116;77;30;12;36;2;3;292;0;2;227;402;0;3;79;0;25;2;3;95;5
539244;Hostivice;5†723;3†897;3†872;632;6;3;183;1;244;196;73;10;84;3;7;656;1;2;476;842;2;3;140;0;30;3;6;259;10
539252;Hradiötko;1†622;1†147;1†136;222;4;1;45;0;80;58;9;9;29;1;2;155;1;0;102;285;0;0;34;0;9;2;0;86;2
539261;Hvozdnice;381;290;287;39;2;0;31;0;32;12;6;2;3;1;0;37;2;0;25;71;0;0;4;0;1;0;1;18;0
539287;ChoteË;279;173;171;24;0;0;9;1;11;13;1;1;5;1;0;19;1;2;26;38;0;0;7;0;2;0;0;9;1
539295;Chr·öùany;647;410;408;48;0;0;12;1;36;16;7;3;6;2;0;77;0;0;44;110;1;0;8;0;2;0;1;34;0
539309;Ch˝nÏ;1†711;1†278;1†273;197;0;0;56;0;224;41;17;9;34;2;1;169;1;1;108;271;0;2;32;0;20;3;1;82;2
513431;Ch˝nice;280;224;223;42;0;1;11;0;14;13;1;0;5;0;1;37;0;2;30;45;0;0;5;0;3;1;0;12;0
539317;JeneË;1†000;636;632;84;2;1;27;6;35;70;14;7;10;1;1;85;0;2;43;161;0;0;16;0;2;0;5;58;2
539325;Jesenice;5†552;3†996;3†980;822;3;3;127;3;330;107;82;12;81;2;3;628;2;3;470;873;2;6;97;0;41;4;5;273;1
539333;JÌlovÈ u Prahy;3†530;2†314;2†304;351;5;3;101;2;191;123;60;16;40;2;8;380;3;5;195;520;1;3;63;0;9;9;7;196;11
539341;JÌloviötÏ;513;384;379;73;0;0;22;0;17;14;6;2;2;0;1;64;1;2;46;73;0;0;17;0;1;2;1;31;4
539350;JinoËany;1†282;863;855;104;0;1;43;1;98;30;11;9;18;3;0;156;0;1;82;208;1;0;30;0;6;1;0;52;0
539368;Kamenn˝ P¯Ìvoz;1†121;669;663;81;1;1;35;0;51;43;8;9;7;0;2;99;1;2;48;202;1;0;7;0;4;0;4;57;0
599727;KarlÌk;359;268;268;64;1;0;9;0;14;14;10;3;2;0;1;32;0;0;38;51;0;0;4;0;5;1;1;18;0
571211;KlÌnec;538;389;385;77;0;0;17;1;22;17;4;6;15;2;2;50;1;0;43;83;0;0;12;0;3;1;0;28;1
539384;KnÏûeves;453;337;334;35;1;1;16;0;18;21;4;2;6;1;1;52;0;0;27;97;10;0;16;0;2;0;0;23;1
539392;Koso¯;661;437;436;60;2;0;29;0;22;26;13;1;7;0;4;69;0;0;58;99;1;0;11;0;2;2;0;30;0
571261;KytÌn;440;338;334;41;0;1;22;0;23;11;11;2;4;0;1;46;0;0;37;97;1;3;8;1;3;2;0;20;0
539406;Lety;1†088;820;805;149;3;0;27;0;68;20;16;2;13;0;3;141;1;1;120;147;0;1;38;0;11;0;0;44;0
539414;LibËice nad Vltavou;2†587;1†583;1†577;186;1;5;79;0;117;115;34;25;33;0;1;287;2;0;146;357;0;1;47;0;10;0;2;124;5
539422;Libe¯;1†091;766;760;139;1;0;26;0;84;25;8;7;9;1;2;120;1;1;59;198;0;0;11;0;2;0;1;62;3
571326;Lichoceves;291;190;188;19;0;0;9;0;15;11;6;2;1;1;0;26;0;0;17;50;0;0;7;0;2;0;0;21;1
